[78.715, 204.059, 1.0]
[78.676, 203.386, 1.0]
[78.704, 203.345, 0.0]
[78.706, 203.385, 0.0]
[78.676, 203.386, 1.0]
[78.674, 203.346, 1.0]
[78.704, 203.345, 0.0]
[78.674, 203.346, 1.0]
[78.692, 202.671, 0.0]
[78.704, 203.345, 0.0]
[78.674, 203.346, 1.0]
[78.662, 202.671, 1.0]
[78.692, 202.671, 0.0]
[78.662, 202.671, 1.0]
[78.692, 202.638, 0.0]
[78.692, 202.671, 0.0]
[78.662, 202.671, 1.0]
[78.662, 202.637, 1.0]
[78.692, 202.638, 0.0]
[78.692, 202.638, 0.0]
[78.662, 202.637, 1.0]
[78.7, 202.117, 0.0]
[78.662, 202.637, 1.0]
[78.67, 202.116, 1.0]
[78.7, 202.117, 0.0]
[78.7, 202.117, 0.0]
[78.67, 202.116, 1.0]
[78.701, 202.085, 0.0]
[78.67, 202.116, 1.0]
[78.671, 202.084, 1.0]
[78.701, 202.085, 0.0]
[78.701, 202.085, 0.0]
[78.671, 202.084, 1.0]
[78.727, 201.533, 0.0]
[78.671, 202.084, 1.0]
[78.697, 201.531, 1.0]
[78.727, 201.533, 0.0]
[78.697, 201.531, 1.0]
[78.699, 201.505, 1.0]
[78.727, 201.533, 0.0]
[78.727, 201.533, 0.0]
[78.699, 201.505, 1.0]
[78.729, 201.507, 0.0]
[78.729, 201.507, 0.0]
[78.699, 201.505, 1.0]
[78.742, 200.919, 1.0]
[78.729, 201.507, 0.0]
[78.742, 200.919, 1.0]
[78.772, 200.921, 0.0]
[78.772, 200.921, 0.0]
[78.742, 200.919, 1.0]
[78.774, 200.897, 0.0]
[78.742, 200.919, 1.0]
[78.744, 200.894, 1.0]
[78.774, 200.897, 0.0]
[78.774, 200.897, 0.0]
[78.744, 200.894, 1.0]
[78.834, 200.279, 0.0]
[78.744, 200.894, 1.0]
[78.804, 200.275, 1.0]
[78.834, 200.279, 0.0]
[78.834, 200.279, 0.0]
[78.804, 200.275, 1.0]
[78.836, 200.259, 0.0]
[78.804, 200.275, 1.0]
[78.806, 200.255, 1.0]
[78.836, 200.259, 0.0]
[78.836, 200.259, 0.0]
[78.806, 200.255, 1.0]
[78.913, 199.608, 0.0]
[78.806, 200.255, 1.0]
[78.883, 199.604, 1.0]
[78.913, 199.608, 0.0]
[78.883, 199.604, 1.0]
[78.886, 199.583, 1.0]
[78.913, 199.608, 0.0]
[78.913, 199.608, 0.0]
[78.886, 199.583, 1.0]
[78.916, 199.587, 0.0]
[78.916, 199.587, 0.0]
[78.886, 199.583, 1.0]
[78.981, 198.899, 1.0]
[78.916, 199.587, 0.0]
[78.981, 198.899, 1.0]
[79.011, 198.903, 0.0]
[79.011, 198.903, 0.0]
[78.981, 198.899, 1.0]
[79.013, 198.888, 0.0]
[78.981, 198.899, 1.0]
[78.983, 198.884, 1.0]
[79.013, 198.888, 0.0]
[79.013, 198.888, 0.0]
[78.983, 198.884, 1.0]
[79.094, 198.166, 1.0]
[79.013, 198.888, 0.0]
[79.094, 198.166, 1.0]
[79.124, 198.17, 0.0]
[79.124, 198.17, 0.0]
[79.094, 198.166, 1.0]
[79.126, 198.154, 0.0]
[79.094, 198.166, 1.0]
[79.096, 198.149, 1.0]
[79.126, 198.154, 0.0]
[79.126, 198.154, 0.0]
[79.096, 198.149, 1.0]
[79.255, 197.402, 0.0]
[79.096, 198.149, 1.0]
[79.226, 197.396, 1.0]
[79.255, 197.402, 0.0]
[79.226, 197.396, 1.0]
[79.229, 197.382, 1.0]
[79.255, 197.402, 0.0]
[79.255, 197.402, 0.0]
[79.229, 197.382, 1.0]
[79.258, 197.388, 0.0]
[79.258, 197.388, 0.0]
[79.229, 197.382, 1.0]
[79.404, 196.603, 0.0]
[79.229, 197.382, 1.0]
[79.375, 196.597, 1.0]
[79.404, 196.603, 0.0]
[79.404, 196.603, 0.0]
[79.375, 196.597, 1.0]
[79.406, 196.591, 0.0]
[79.375, 196.597, 1.0]
[79.377, 196.585, 1.0]
[79.406, 196.591, 0.0]
[79.406, 196.591, 0.0]
[79.377, 196.585, 1.0]
[79.569, 195.771, 0.0]
[79.377, 196.585, 1.0]
[79.54, 195.764, 1.0]
[79.569, 195.771, 0.0]
[79.569, 195.771, 0.0]
[79.54, 195.764, 1.0]
[79.577, 195.736, 0.0]
[79.54, 195.764, 1.0]
[79.548, 195.729, 1.0]
[79.577, 195.736, 0.0]
[79.577, 195.736, 0.0]
[79.548, 195.729, 1.0]
[87.122, 163.877, 0.0]
[79.548, 195.729, 1.0]
[87.093, 163.87, 1.0]
[87.122, 163.877, 0.0]
[87.122, 163.877, 0.0]
[87.093, 163.87, 1.0]
[87.132, 163.837, 0.0]
[87.093, 163.87, 1.0]
[87.103, 163.829, 1.0]
[87.132, 163.837, 0.0]
[87.132, 163.837, 0.0]
[87.103, 163.829, 1.0]
[87.116, 163.785, 1.0]
[87.145, 163.794, 0.0]
[87.132, 163.837, 0.0]
[87.116, 163.785, 1.0]
[87.145, 163.794, 0.0]
[87.116, 163.785, 1.0]
[87.132, 163.741, 1.0]
[87.16, 163.752, 0.0]
[87.145, 163.794, 0.0]
[87.132, 163.741, 1.0]
[87.16, 163.752, 0.0]
[87.132, 163.741, 1.0]
[87.177, 163.71, 0.0]
[87.132, 163.741, 1.0]
[87.15, 163.698, 1.0]
[87.177, 163.71, 0.0]
[87.177, 163.71, 0.0]
[87.15, 163.698, 1.0]
[87.169, 163.657, 1.0]
[87.196, 163.67, 0.0]
[87.177, 163.71, 0.0]
[87.169, 163.657, 1.0]
[87.196, 163.67, 0.0]
[87.169, 163.657, 1.0]
[87.216, 163.63, 0.0]
[87.169, 163.657, 1.0]
[87.19, 163.616, 1.0]
[87.216, 163.63, 0.0]
[87.216, 163.63, 0.0]
[87.19, 163.616, 1.0]
[87.238, 163.591, 0.0]
[87.19, 163.616, 1.0]
[87.212, 163.576, 1.0]
[87.238, 163.591, 0.0]
[87.238, 163.591, 0.0]
[87.212, 163.576, 1.0]
[87.237, 163.536, 1.0]
[87.262, 163.553, 0.0]
[87.238, 163.591, 0.0]
[87.237, 163.536, 1.0]
[87.262, 163.553, 0.0]
[87.237, 163.536, 1.0]
[87.264, 163.499, 1.0]
[87.288, 163.517, 0.0]
[87.262, 163.553, 0.0]
[87.264, 163.499, 1.0]
[87.288, 163.517, 0.0]
[87.264, 163.499, 1.0]
[87.315, 163.481, 0.0]
[87.264, 163.499, 1.0]
[87.292, 163.462, 1.0]
[87.315, 163.481, 0.0]
[87.315, 163.481, 0.0]
[87.292, 163.462, 1.0]
[87.344, 163.447, 0.0]
[87.292, 163.462, 1.0]
[87.322, 163.427, 1.0]
[87.344, 163.447, 0.0]
[87.344, 163.447, 0.0]
[87.322, 163.427, 1.0]
[87.374, 163.414, 0.0]
[87.322, 163.427, 1.0]
[87.352, 163.393, 1.0]
[87.374, 163.414, 0.0]
[87.374, 163.414, 0.0]
[87.352, 163.393, 1.0]
[87.406, 163.382, 0.0]
[87.352, 163.393, 1.0]
[87.385, 163.36, 1.0]
[87.406, 163.382, 0.0]
[87.406, 163.382, 0.0]
[87.385, 163.36, 1.0]
[87.419, 163.329, 1.0]
[87.439, 163.352, 0.0]
[87.406, 163.382, 0.0]
[87.419, 163.329, 1.0]
[87.439, 163.352, 0.0]
[87.419, 163.329, 1.0]
[87.473, 163.324, 0.0]
[87.419, 163.329, 1.0]
[87.455, 163.3, 1.0]
[87.473, 163.324, 0.0]
[87.473, 163.324, 0.0]
[87.455, 163.3, 1.0]
[87.509, 163.297, 0.0]
[87.455, 163.3, 1.0]
[87.492, 163.272, 1.0]
[87.509, 163.297, 0.0]
[87.509, 163.297, 0.0]
[87.492, 163.272, 1.0]
[87.546, 163.271, 0.0]
[87.492, 163.272, 1.0]
[87.53, 163.246, 1.0]
[87.546, 163.271, 0.0]
[87.546, 163.271, 0.0]
[87.53, 163.246, 1.0]
[87.584, 163.248, 0.0]
[87.53, 163.246, 1.0]
[87.569, 163.222, 1.0]
[87.584, 163.248, 0.0]
[87.584, 163.248, 0.0]
[87.569, 163.222, 1.0]
[87.623, 163.226, 0.0]
[87.569, 163.222, 1.0]
[87.609, 163.199, 1.0]
[87.623, 163.226, 0.0]
[87.623, 163.226, 0.0]
[87.609, 163.199, 1.0]
[87.663, 163.205, 0.0]
[87.609, 163.199, 1.0]
[87.65, 163.178, 1.0]
[87.663, 163.205, 0.0]
[87.663, 163.205, 0.0]
[87.65, 163.178, 1.0]
[87.703, 163.187, 0.0]
[87.65, 163.178, 1.0]
[87.691, 163.159, 1.0]
[87.703, 163.187, 0.0]
[87.703, 163.187, 0.0]
[87.691, 163.159, 1.0]
[87.745, 163.17, 0.0]
[87.691, 163.159, 1.0]
[87.735, 163.142, 1.0]
[87.745, 163.17, 0.0]
[87.745, 163.17, 0.0]
[87.735, 163.142, 1.0]
[87.787, 163.156, 0.0]
[87.735, 163.142, 1.0]
[87.778, 163.127, 1.0]
[87.787, 163.156, 0.0]
[87.787, 163.156, 0.0]
[87.778, 163.127, 1.0]
[87.83, 163.143, 0.0]
[87.778, 163.127, 1.0]
[87.822, 163.114, 1.0]
[87.83, 163.143, 0.0]
[87.83, 163.143, 0.0]
[87.822, 163.114, 1.0]
[87.866, 163.103, 1.0]
[87.873, 163.132, 0.0]
[87.83, 163.143, 0.0]
[87.866, 163.103, 1.0]
[87.873, 163.132, 0.0]
[87.866, 163.103, 1.0]
[87.917, 163.123, 0.0]
[87.866, 163.103, 1.0]
[87.912, 163.093, 1.0]
[87.917, 163.123, 0.0]
[87.917, 163.123, 0.0]
[87.912, 163.093, 1.0]
[87.961, 163.116, 0.0]
[87.912, 163.093, 1.0]
[87.957, 163.086, 1.0]
[87.961, 163.116, 0.0]
[87.961, 163.116, 0.0]
[87.957, 163.086, 1.0]
[88.003, 163.081, 1.0]
[88.006, 163.111, 0.0]
[87.961, 163.116, 0.0]
[88.003, 163.081, 1.0]
[88.006, 163.111, 0.0]
[88.003, 163.081, 1.0]
[88.05, 163.108, 0.0]
[88.003, 163.081, 1.0]
[88.049, 163.078, 1.0]
[88.05, 163.108, 0.0]
[88.05, 163.108, 0.0]
[88.049, 163.078, 1.0]
[88.095, 163.107, 0.0]
[88.049, 163.078, 1.0]
[88.095, 163.077, 1.0]
[88.095, 163.107, 0.0]
[88.095, 163.107, 0.0]
[88.095, 163.077, 1.0]
[124.482, 163.077, 1.0]
[88.095, 163.107, 0.0]
[124.482, 163.077, 1.0]
[124.52, 163.107, 0.0]
[123.811, 160.1, 0.0]
[124.52, 163.107, 0.0]
[124.482, 163.077, 1.0]
[123.787, 160.13, 1.0]
[123.811, 160.1, 0.0]
[124.482, 163.077, 1.0]
[123.787, 160.13, 1.0]
[89.745, 160.1, 0.0]
[123.811, 160.1, 0.0]
[89.744, 160.13, 1.0]
[89.745, 160.1, 0.0]
[123.787, 160.13, 1.0]
[89.744, 160.13, 1.0]
[89.698, 160.127, 1.0]
[89.745, 160.1, 0.0]
[89.745, 160.1, 0.0]
[89.698, 160.127, 1.0]
[89.701, 160.097, 0.0]
[89.698, 160.127, 1.0]
[89.656, 160.093, 0.0]
[89.701, 160.097, 0.0]
[89.653, 160.123, 1.0]
[89.656, 160.093, 0.0]
[89.698, 160.127, 1.0]
[89.653, 160.123, 1.0]
[89.607, 160.117, 1.0]
[89.656, 160.093, 0.0]
[89.656, 160.093, 0.0]
[89.607, 160.117, 1.0]
[89.612, 160.087, 0.0]
[89.607, 160.117, 1.0]
[89.561, 160.107, 1.0]
[89.612, 160.087, 0.0]
[89.612, 160.087, 0.0]
[89.561, 160.107, 1.0]
[89.568, 160.078, 0.0]
[89.561, 160.107, 1.0]
[89.525, 160.068, 0.0]
[89.568, 160.078, 0.0]
[89.518, 160.097, 1.0]
[89.525, 160.068, 0.0]
[89.561, 160.107, 1.0]
[89.518, 160.097, 1.0]
[89.482, 160.056, 0.0]
[89.525, 160.068, 0.0]
[89.473, 160.085, 1.0]
[89.482, 160.056, 0.0]
[89.518, 160.097, 1.0]
[89.473, 160.085, 1.0]
[89.439, 160.042, 0.0]
[89.482, 160.056, 0.0]
[89.429, 160.07, 1.0]
[89.439, 160.042, 0.0]
[89.473, 160.085, 1.0]
[89.429, 160.07, 1.0]
[89.386, 160.054, 1.0]
[89.439, 160.042, 0.0]
[89.439, 160.042, 0.0]
[89.386, 160.054, 1.0]
[89.397, 160.026, 0.0]
[89.386, 160.054, 1.0]
[89.343, 160.035, 1.0]
[89.397, 160.026, 0.0]
[89.397, 160.026, 0.0]
[89.343, 160.035, 1.0]
[89.356, 160.008, 0.0]
[89.343, 160.035, 1.0]
[89.316, 159.988, 0.0]
[89.356, 160.008, 0.0]
[89.302, 160.014, 1.0]
[89.316, 159.988, 0.0]
[89.343, 160.035, 1.0]
[89.302, 160.014, 1.0]
[89.277, 159.967, 0.0]
[89.316, 159.988, 0.0]
[89.262, 159.993, 1.0]
[89.277, 159.967, 0.0]
[89.302, 160.014, 1.0]
[89.262, 159.993, 1.0]
